chinese	english
人文社會學院學士班	Bachelor's Degree, School of Humanities and Social Sciences
人文社會學院英語學士班	Bachelor of Arts in English, College of Humanities and Social Sciences
人文科技跨領域學士學位學程	Interdisciplinary Bachelor's Degree Program in Humanities and Technology
人文與社區創新學士學位學程	Bachelor's Degree in Humanities and Community Innovation
人文與資訊學系	Department of Humanities and Informatics
人文與資訊學系數位應用組	Department of Humanities and Informatics Graduate Application Group
人文與資訊學系文化行銷組	Cultural Marketing Group, Department of Humanities and Informatics
人發與家庭系	Department of Human Hair and Family
人發與家庭系家庭生活教育組	Family Life Education Section, Department of Human Development and Family
人發與家庭系幼兒發展教育組	Early Childhood Development Education Group, Department of Human Development and Family
人類學系	Department of Anthropology
人類發展與家庭學系	Department of Human Development and Family Studies
人類發展與家庭學系家庭生活教育組	Family Life Education Section, Department of Human Development and Family Studies
人類發展與家庭學系幼兒發展與教育組	Early Childhood Development and Education Section, Department of Human Development and Family Studies
人類發展與心理學系	Department of Human Development and Psychology
企業管理學系	Department of Business Administration
企業管理學系(A組)	Department of Business Management (Group A)
企業管理學系(B組)	Department of Business Management (Group B)
企業管理學系(一般組)	Department of Business Administration (General Group)
企業管理學系(創新應用組)	Department of Business Administration (Innovative Application Group)
企業管理學系(數位行銷組)	Department of Business Administration (Digital Marketing Group)
企業管理學系(社會組)	Department of Business Administration (Social Group)
企業管理學系(經營管理組)	Department of Business Administration (Business Management Group)
企業管理學系(自然組)	Department of Business Administration (Natural Group)
企業管理學系(臺北校區)	Department of Business Administration (Taipei Campus)
企業管理學系(臺北校區)【外加】	Department of Business Administration (Taipei Campus) [Additional]
企業管理學系人工智慧應用組(台北校	Artificial Intelligence Application Group, Department of Business Administration (Taipei Campus
企業管理學系企業管理組	Business Management Group, Department of Business Administration
企業管理學系企業管理組(台北校區)	Business Management Group, Department of Business Administration (Taipei Campus)
企業管理學系企業管理組（臺北）	Business Management Group, Department of Business Administration (Taipei)
企業管理學系企業經營組	Business Management Group, Department of Business Administration
企業管理學系全英語學士班	Bachelor's degree program in English in the Department of Business Administration
企業管理學系品牌行銷組(台北校區)	Brand Marketing Group, Department of Business Administration (Taipei Campus)
企業管理學系品牌行銷組（臺北）	Brand Marketing Group, Department of Business Administration (Taipei)
企業管理學系工商管理組	Business Administration Group, Department of Business Administration
企業管理學系數位經營組(台北校區)	Graduate Business Group, Department of Business Administration (Taipei Campus)
企業管理學系數位經營組（臺北）	Department of Business Administration Graduate Management Group (Taipei)
企業管理學系智慧運輸與物流組	Smart Transportation and Logistics Group, Department of Business Administration
企業管理學系服務業管理組	Service Industry Management Group, Department of Business Administration
企業管理學系社會組(臺北校區)	Social Section, Department of Business Administration (Taipei Campus)
企業管理學系經營管理組	Business Management Group, Department of Business Administration
企業管理學系自然組(臺北校區)	Natural Group, Department of Business Administration (Taipei Campus)
企業管理學系行銷管理組	Marketing Management Group, Department of Business Administration
企業管理學系行銷與創業組	Marketing and Entrepreneurship Group, Department of Business Administration
企業管理學系財務管理組	Financial Management Group, Department of Business Administration
企業管理學系高科	Department of Business Administration
企業管理學系高科技業管理組	High-Tech Industry Management Group, Department of Business Administration
企業管理學魚(飛倉紡)	Business Management Learning Fish (Feicangfang)
企業管理系	Department of Business Administration
企業管理系企業管理組(台北)	Business Management Group, Department of Business Management (Taipei)
企業管理系品牌行銷組(台北)	Brand Marketing Group, Department of Business Management (Taipei)
企業管理系廣告與數位行銷組	Advertising and Digital Marketing Group, Department of Business Administration
企業管理系數位經營組(台北)	Enterprise Management Coefficient Management Group (Taipei)
企業管理系時尚產業管理組	Fashion Industry Management Group, Department of Business Administration
企業管理系時尚經營管理組	Fashion Management Group, Department of Business Administration
企業管理系智慧運輸與物流組	Intelligent Transportation and Logistics Group, Department of Business Management
企業管理系餐旅微型創業管理組	Department of Business Administration Catering and Tourism Micro-Entrepreneurship Management Group
企業管理系（台北校區）	Department of Business Administration (Taipei Campus)
企業管理系（新竹校區）	Department of Business Management (Hsinchu Campus)
企業管理系（燕巢校區）	Department of Business Management (Yanchao Campus)
企業管理系（臺北校區）	Department of Business Administration (Taipei Campus)
企業經營管理系	Department of Business Administration
企業資訊與管理系	Department of Business Information and Management
企業資訊與管理系企業資訊管理組	Enterprise Information Management Group, Department of Enterprise Information and Management
企業資訊與管理系（台北校區）	Department of Business Information and Management (Taipei Campus)
企管學系	Department of Business Administration
企管學系(創業與組織領導組)	Department of Business Administration (Entrepreneurship and Organizational Leadership Group)
企管學系(服務創新與經營組)	Department of Business Administration (Service Innovation and Management Group)
企管學系(行銷與數位經營組)	Department of Business Administration (Marketing and Digital Management Group)
企管系(創業與組織領導組)	Department of Enterprise Management (Entrepreneurship and Organizational Leadership Group)
企管系(服務創新與經營組)	Enterprise Management Department (Service Innovation and Management Group)
企管系(行銷與數位經營組)	Corporate Management (Marketing and Digital Operations Group)
休閒事業管理學系	Department of Leisure Business Management
休閒事業管理學系乙組	Department of Leisure Industry Management Group B
休閒事業管理學系甲組	Department of Leisure Business Management Group A
休閒事業管理系	Department of Leisure Business Management
休閒事業管理系(休閒企劃組)	Department of Leisure Business Management (Leisure Planning Group)
休閒事業管理系(創新經營組)	Department of Leisure Business Management (Innovative Management Group)
休閒事業管理系企劃與行銷組	Department of Leisure Business Management Planning and Marketing Group
休閒事業管理系休閒產經組	Department of Leisure Business Management, Leisure Industry and Economics Group
休閒事業系	Department of Leisure Business
休閒事業經營學系	Department of Leisure Business Management
休閒事業經營系	Department of Leisure Business Management
休閒保健學系	Department of Leisure and Health Sciences
休閒保健管理系	Department of Leisure and Health Management
休閒暨遊憩管理系	Department of Leisure and Recreation Management
休閒產業管理學系	Department of Leisure Industry Management
休閒產業管理學系(高雄校區)	Department of Leisure Industry Management (Kaohsiung Campus)
休閒產業管理學系休閒文創組	Leisure Cultural and Creative Group, Department of Leisure Industry Management
休閒產業管理學系休閒文創規劃組(高雄	Leisure Cultural and Creative Planning Group, Department of Leisure Industry Management (Kaohsiung
休閒產業管理學系休閒文創規劃組(高雄校區)	Leisure Cultural and Creative Planning Group, Department of Leisure Industry Management (Kaohsiung Campus)
休閒產業管理學系文創規劃組(高雄校	Cultural and Creative Planning Group, Department of Leisure Industry Management (Kaohsiung Campus
休閒產業管理學系環境教育與休閒規劃	Department of Leisure Industry Management Environmental Education and Leisure Planning
休閒產業管理學系精品咖啡烘培經營組	Department of Leisure Industry Management, Specialty Coffee Roasting Management Group
休閒產業管理學系精品咖啡烘焙經營組(高雄校區)	Department of Leisure Industry Management, Specialty Coffee Roasting Operations Group (Kaohsiung Campus)
休閒產業管理學系遊憩運動企劃組(高雄	Recreation and Sports Planning Group, Department of Leisure Industry Management (Kaohsiung
休閒產業管理學系遊憩運動企劃組(高雄校區)	Recreation and Sports Planning Group, Department of Leisure Industry Management (Kaohsiung Campus)
休閒產業管理學系遊憩運動組	Recreation and Sports Group, Department of Leisure Industry Management
休閒產業管理系	Department of Leisure Industry Management
休閒產業經營學系	Department of Leisure Industry Management
休閒產業與健康促進學系	Department of Leisure Industry and Health Promotion
休閒產業與健康促進系	Department of Leisure Industry and Health Promotion
休閒與觀光管理系	Department of Leisure and Tourism Management
休閒與遊憩事業管理系	Department of Leisure and Recreation Management
休閒與遊憩管理學系	Department of Leisure and Recreation Management
休閒與遊憩管理學系(旅遊事業管理組)	Department of Leisure and Recreation Management (Tourism Management Group)
休閒與遊憩管理學系(餐旅事業管理組)	Department of Leisure and Recreation Management (Hospitality and Tourism Management Group)
休閒與遊憩管理學系旅遊事業管理組	Tourism Management Group, Department of Leisure and Recreation Management
休閒與遊憩管理學系餐旅事業管理組	Hospitality and Tourism Business Management Group, Department of Leisure and Recreation Management
休閒與運動管理系	Department of Recreation and Sports Management
休閒與餐旅管理系	Department of Leisure and Hospitality Management
休閒遊憩管理學系	Department of Leisure and Recreation Management
休閒遊憩管理學系(桃園校區)	Department of Leisure and Recreation Management (Taoyuan Campus)
休閒遊憩管理學系（桃園）	Department of Leisure and Recreation Management (Taoyuan)
休閒遊憩管理系	Department of Leisure and Recreation Management
休閒遊憩管理系(旅遊事業組)	Department of Leisure and Recreation Management (Tourism Business Group)
休閒遊憩管理系(餐旅事業組)	Department of Leisure and Recreation Management (Catering and Tourism Business Group)
休閒遊憩系	Department of Leisure and Recreation
休閒遊憩與運動管理系	Department of Leisure, Recreation and Sports Management
休閒運動健康系	Department of Leisure Sports and Health
休閒運動學系	Department of Recreational Sports
休閒運動管理學系	Department of Leisure and Sports Management
休閒運動管理學銷(飛倉績)	Leisure Sports Management Studies (Feicangji)
休閒運動管理系	Department of Leisure and Sports Management
休閒運動與健康管理系	Department of Leisure Sports and Health Management
休閒運動與觀光管理系	Department of Leisure Sports and Tourism Management
佛光大學	Foguang University
供應鏈管理系	Department of Supply Chain Management
供應鏈管理系（楠梓校區）	Department of Supply Chain Management (Nanzi Campus)
俄國語文學系	Department of Russian Philology
俄國語文學系【外加】	Department of Russian Philology【Additional】
保健營養學系	Department of Health and Nutrition
保健營養系	Department of Health and Nutrition
保健營養系（林口校區）	Department of Health and Nutrition (Linkou Campus)
保健食品系	Health food department
保險金融管理系	Department of Insurance and Financial Management
修平科技大學	Shuping University of Technology
健康事業管理系	Department of Health Career Management
健康休閒管理系	Department of Health and Leisure Management
健康休閒管理系健康保健組	Health Care Group, Department of Health and Leisure Management
健康休閒管理系運動休閒組	Sports and Leisure Group, Department of Health and Leisure Management
健康促進與衛生教育學系	Department of Health Promotion and Health Education
健康心理學系	Department of Health Psychology
健康心理學系(社會組)	Department of Health Psychology (Social Section)
健康心理學系(自然組)	Department of Health Psychology (Natural Group)
健康照護管理學系	Department of Health Care Management
健康照護管理學系(台南校區)	Department of Health Care Management (Tainan Campus)
健康照顧社會工作系	Department of Health Care and Social Work
健康照顧社會工作系（淡水校區）	Department of Health Care and Social Work (Tamsui Campus)
健康產業科技研發與管理系	Department of Health Industry Technology R&D and Management
健康產業科技管理學系	Department of Health Industry Science and Technology Management
健康產業管理學系	Department of Health Industry Management
健康產業管理學系(健康產業管理組)	Department of Health Industry Management (Health Industry Management Group)
健康產業管理學系(跨領域高齡智慧照顧	Department of Health Industry Management (Interdisciplinary Smart Care for the Elderly)
健康產業管理學系(醫療機構管理組)	Department of Health Industry Management (Medical Institution Management Group)
健康產業管理學系健康產業管理組	Health Industry Management Group, Department of Health Industry Management
健康產業管理學系健康產業管理組【外加】	Health Industry Management Group, Department of Health Industry Management [Additional]
健康產業管理學系醫療機構管理組	Medical Institution Management Group, Department of Health Industry Management
健康產業管理系(健康產業組)	Department of Health Industry Management (Health Industry Group)
健康產業管理系(醫療機構組)	Department of Health Industry Management (Medical Institution Group)
健康管理學系	Department of Health Management
健康管理學系乙組	Department of Health Management Group B
健康管理學系健康促進與產業管理組	Health Promotion and Industrial Management Group, Department of Health Management
健康管理學系甲組	Department of Health Management Group A
健康管理學系職業安全與衛生管理組	Occupational Safety and Health Management Group, Department of Health Management
健康美容系	Department of Health and Beauty
健康與創意蔬食產業學系	Department of Health and Creative Vegetarian Food Industry
健康餐飲暨產業管理學系	Department of Healthy Catering and Industrial Management
健行科技大學	Jianxing University of Technology
傳播學系	Department of Communication Studies
傳播學系(廣告公關組)	Department of Communication (Advertising and Public Relations Group)
傳播學系(廣告公關與精準行銷組)	Department of Communication (Advertising, Public Relations and Precision Marketing Group)
傳播學系(數位媒體組)	Department of Communication (Digital Media Group)
傳播學系(流行音樂傳播組)	Department of Communication (Popular Music Communication Group)
傳播學系廣告公關新聞組	Department of Communication Advertising and Public Relations News Group
傳播學系影劇表演藝術組	Department of Communication Studies Film and Theater Performing Arts Group
傳播學系數位影音製作組	Department of Communication Studies Graduate Audiovisual Production Group
傳播學院不分系	The School of Communication is not divided into departments
傳播學院不分系社會組	School of Communication is not divided into departments and social groups
傳播學院不分系自然組	The School of Communication is not divided into natural groups
傳播學院大一大二不分系	Freshmen and sophomores in the School of Communication are not divided into departments.
傳播學院大一大二不分系(社會組)	Freshmen and sophomores in the School of Communication are not divided into departments (social group)
傳播學院大一大二不分系(社會組)【外加】	Freshmen and sophomores in the School of Communication are not divided into departments (social group) [Additional]
傳播學院大一大二不分系(自然組)	Freshmen and sophomores in the School of Communication are not divided into departments (natural group)
傳播學院大一大二不分系社會組	Social group for freshmen and sophomores in the School of Communication regardless of department
傳播學院大一大二不分系自然組	Natural group for freshmen and sophomores in the School of Communication regardless of department
傳播產製英語學士學位學程	Bachelor's degree program in Communication and English
傳播管理學系	Department of Communication Management
傳播與科技學系	Department of Communication and Technology
傳播藝術學士學位學程	Bachelor of Arts in Communication Arts Program
傳播藝術系	Department of Communication Arts
僑光科技大學	Qiaoguang University of Science and Technology
元培醫事科技大學	Yuan Pei University of Medical Science and Technology
元智大學	Yuanzhi University
先進應用材料工程系	Department of Advanced Applied Materials Engineering
先進材料學士學位學程	Advanced Materials Bachelor's Degree Program
光電工程學士學位學程	Bachelor's Degree Program in Optoelectronic Engineering
光電工程學系	Department of Optoelectronic Engineering
光電工程學系乙組	Department of Optoelectronic Engineering Group B
光電工程學系全英語組	Department of Optoelectronic Engineering, all-English group
光電工程學系甲組	Department of Optoelectronic Engineering Group A
光電工程系	Department of Optoelectronic Engineering
光電材料工程系	Department of Optoelectronic Materials Engineering
光電材料工程系(材料應用組)	Department of Optoelectronic Materials Engineering (Materials Application Group)
光電材料工程系(生醫光電組)	Department of Optoelectronic Materials Engineering (Biomedical Optoelectronics Group)
光電材料工程系(綠能光電組)	Department of Optoelectronic Materials Engineering (Green Energy Optoelectronics Group)
光電物理學系	Department of Optoelectronic Physics
光電科學與工程學系	Department of Optoelectronic Science and Engineering
光電科學與工程學系A組	Department of Optoelectronic Science and Engineering Group A
光電科學與工程學系B組	Department of Optoelectronic Science and Engineering Group B
光電科學與工程學系【外加】	Department of Optoelectronic Science and Engineering [Additional]
光電與材料工程學系	Department of Optoelectronics and Materials Engineering
光電與材料工程學系(人工智慧應用組)	Department of Optoelectronics and Materials Engineering (Artificial Intelligence Application Group)
光電與材料工程學系(半導體組)	Department of Optoelectronics and Materials Engineering (Semiconductor Group)
光電與材料工程學系(材料應用組)	Department of Optoelectronics and Materials Engineering (Materials Application Group)
光電與材料工程學系(生醫光電組)	Department of Optoelectronics and Materials Engineering (Biomedical Optoelectronics Group)
光電與材料科技學系	Department of Optoelectronics and Materials Technology
光電與通訊學系	Department of Optoelectronics and Communications
光電與通訊學系(光電綠能組)	Department of Optoelectronics and Communications (Optoelectronics and Green Energy Group)
光電與通訊學系(通訊網路組)	Department of Optoelectronics and Communications (Communication Network Group)
光電與通訊工程學系	Department of Optoelectronics and Communication Engineering
兒童教育暨事業經營系	Department of Children's Education and Business Management
兒童發展與家庭教育學系	Department of Child Development and Family Education
兒童與家庭學系	Department of Child and Family Studies
兒童與家庭服務系	Department of Children and Family Services
兒童英語教育學系	Department of Children's English Education
兒童英語教育學系(自費)	Department of Children's English Education (self-funded)
兒童英語教育系(公費)花蓮縣	Department of Children's English Education (Publicly Funded) Hualien County
全校不分系學士學位學程	Bachelor's degree programs across the school, regardless of department
全球商務學士學位學程	Bachelor's Degree in Global Business
全球商務與行銷系	Department of Global Business and Marketing
全球政治經濟學系全英語學士班	Bachelor's degree course in English in the Department of Global Political Economics
全球政治經濟學系全英語班	An all-English class in the Department of Global Political Economics
全球發展工程學士學位學程	Global Development Engineering Bachelor's Degree Program
全球發展工程學士學位學程材料工程組	Bachelor of Science in Global Development Engineering Materials Engineering Group
全球發展工程學士學位學程機械工程組	Bachelor of Science in Global Development Engineering Program Mechanical Engineering Section
公共事務學系	Department of Public Affairs
公共事務學系(國際與兩岸事務組)	Department of Public Affairs (International and Cross-Strait Affairs Group)
公共事務學系(行政管理組)	Department of Public Affairs (Administrative Management Section)
公共事務學系公共管理組(桃園校區)	Public Management Group, Department of Public Affairs (Taoyuan Campus)
公共事務學系專案管理組(桃園校區)	Project Management Group, Department of Public Affairs (Taoyuan Campus)
公共事務學系（桃園）	Department of Public Affairs (Taoyuan)
公共事務學系（桃園）【外加】	Department of Public Affairs (Taoyuan) [Additional]
公共事務系	Department of Public Affairs
公共事務系(國際兩岸事務組)	Department of Public Affairs (International Cross-Strait Affairs Group)
公共事務系公共管理組(桃園)	Public Management Group, Department of Public Affairs (Taoyuan)
公共事務系專案管理組(桃園)	Project Management Group, Department of Public Affairs (Taoyuan)
公共事務與公民教育學系	Department of Public Affairs and Civic Education
公共事務與公民教育學系公共事務組	Public Affairs Group, Department of Public Affairs and Civic Education
公共事務與公民教育學系公民教育組	Civic Education Section, Department of Public Affairs and Civic Education
公共事務與行政管理學系	Department of Public Affairs and Administration
公共事務與行政管理學系(桃園校區)	Department of Public Affairs and Administration (Taoyuan Campus)
公共安全及消防學士學位學程	Bachelor's Degree Program in Public Safety and Fire Protection
公共安全及消防系	Department of Public Safety and Fire Protection
公共政策與管理學系	Department of Public Policy and Management
公共與文化事務學系	Department of Public and Cultural Affairs
公共行政學系	Department of Public Administration
公共行政學系【外加】	Department of Public Administration【Additional】
公共行政暨政策學系	Department of Public Administration and Policy
公共行政暨政策學系【外加】	Department of Public Administration and Policy [Additional]
公共行政與國際事務學系	Department of Public Administration and International Affairs
公共行政與政策學系	Department of Public Administration and Policy
公共衛生學系	Department of Public Health
公共衛生學系(A組)	Department of Public Health (Group A)
公共衛生學系(B組)	Department of Public Health (Group B)
公共衛生學系A組	Department of Public Health Group A
公共衛生學系B組	Department of Public Health Group B
公共衛生學院大一不分系	Freshman School of Public Health regardless of department
公共關係暨廣告學系	Department of Public Relations and Advertising
公共關係暨廣告學系【外加】	Department of Public Relations and Advertising [Additional]
公共關係暨廣告系	Department of Public Relations and Advertising
公務與公民教育系	Department of Public Service and Civic Education
公務與公民教育系公共事務組	Public Affairs Section, Department of Public Service and Civic Education
公務與公民教育系公民教育組	Civic Education Section, Department of Public Affairs and Civic Education
公民教育與活動領導學系	Department of Civic Education and Activity Leadership
冷凍空調與能源系	Department of Refrigeration, Air Conditioning and Energy
冷凍空調與能源系環境控制組	Environmental Control Group, Department of Refrigeration, Air Conditioning and Energy
冷凍空調與能源系能源應用組	Energy Application Group, Department of Refrigeration, Air Conditioning and Energy
分子生物暨人類遺傳學系	Department of Molecular Biology and Human Genetics
分子科學與工程系	Department of Molecular Science and Engineering
創意商品設計學系	Department of Creative Product Design
創意商品設計學系(創意商品組)	Department of Creative Product Design (Creative Product Group)
創意商品設計學系(創意產品組)	Department of Creative Product Design (Creative Products Group)
創意商品設計學系文化創意組	Department of Creative Product Design, Cultural Creativity Group
創意商品設計學系生活創意組	Lifestyle Creativity Group, Department of Creative Product Design
創意商品設計科	Creative Product Design Department
創意商品設計系	Department of Creative Product Design
創意商品設計系(創意商品組)	Department of Creative Product Design (Creative Product Group)
創意商品設計系(科技商品組)	Department of Creative Product Design (Technology Product Group)
創意商品設計與管理系	Department of Creative Product Design and Management
創意整合設計學系	Department of Creative Integrated Design
創意生活設計系	Department of Creative Life Design
創意產品與遊戲設計系	Department of Creative Products and Game Design
創意產品設計系	Department of Creative Product Design
創意設計學士班	Bachelor of Creative Design
創意設計學院國際設計學士班	International Design Bachelor Class, College of Creative Design
創意設計系	Department of Creative Design
創新商品設計與創業管理系	Department of Innovative Product Design and Entrepreneurship Management
創新國際學院學士班	Bachelor's degree program at Innovation International College
創新應用管理學系	Department of Innovation and Applied Management
創新產品設計系	Department of Innovative Product Design
創新設計學院專班	Special classes at the School of Innovation and Design
創新設計工程系	Department of Innovation Design Engineering
創新設計工程系（第一校區）	Department of Innovation Design Engineering (First Campus)
創新設計與創業管理系	Department of Innovation Design and Entrepreneurship Management
劇場藝術學系	Department of Theater Arts
劇場藝術學系(女)	Department of Theater Arts (Female)
劇場藝術學系(男)	Department of Theater Arts (Male)
動力機械工程學系	Department of Power Mechanical Engineering
動力機械工程學系乙組	Department of Power Mechanical Engineering Group B
動力機械工程學系甲組	Department of Power Mechanical Engineering Group A
動力機械工程系	Department of Power Mechanical Engineering
動力機械科	Power Machinery Department
動力機械科產業機械組	Power Machinery Division Industrial Machinery Group
動力機械科車輛組	Power Machinery Division Vehicle Section
動漫文創設計學士學位學程	Bachelor's degree program in animation, cultural and creative design
動漫文創設計學士學位學程(桃園校區)	Bachelor's Degree Program in Animation, Cultural and Creative Design (Taoyuan Campus)
動漫文創設計學士學位學程（桃園）	Bachelor's Degree Program in Animation, Cultural and Creative Design (Taoyuan)
動漫遊戲美術應用學士學位學程	Bachelor of Applied Arts in Animation and Games Program
動物保健學士學位學程	Bachelor's Degree in Animal Health
動物保健系	Department of Animal Health
動物科學技術學系	Department of Animal Science and Technology
動物科學系	Department of Animal Science
動物科學與畜產系	Department of Animal Science and Livestock Production
動畫與遊戲設計系	Department of Animation and Game Design
動畫遊戲設計學系	Department of Animation and Game Design
勞動暨人力資源學系	Department of Labor and Human Resources
勞工關係學系	Department of Labor Relations
化妝品應用學士學位學程	Bachelor's Degree in Cosmetic Applications
化妝品應用科	Cosmetic Application Department
化妝品應用系	Department of Cosmetics Application
化妝品應用系（林口校區）	Department of Cosmetic Application (Linkou Campus)
化妝品應用與管理系	Department of Cosmetics Application and Management
化妝品與時尚彩妝系	Department of Cosmetics and Fashion Makeup
化學學系	Department of Chemistry
化學學系化學與生物化學組	Chemistry and Biochemistry Section, Department of Chemistry
化學學系材料化學組	Department of Chemistry Materials Chemistry Group
化學工程及材料工程學系	Department of Chemical Engineering and Materials Engineering
化學工程及材料工程學系【外加】	Department of Chemical Engineering and Materials Engineering [Additional]
化學工程學系	Department of Chemical Engineering
化學工程學系乙組	Department of Chemical Engineering Group B
化學工程學系材料工程組	Materials Engineering Group, Department of Chemical Engineering
化學工程學系生化工程組	Department of Chemical Engineering and Biochemical Engineering Group
化學工程學系甲組	Department of Chemical Engineering Group A
化學工程學系綠能製程組	Green Energy Processing Group, Department of Chemical Engineering
化學工程系	Department of Chemical Engineering
化學工程與材料工程學系	Department of Chemical Engineering and Materials Engineering
化學工程與材料工程學系(材料工程組)	Department of Chemical Engineering and Materials Engineering (Materials Engineering Group)
化學工程與材料工程學系(生化工程組)	Department of Chemical Engineering and Materials Engineering (Biochemical Engineering Group)
化學工程與材料工程學系(生化科技組)	Department of Chemical Engineering and Materials Engineering (Biochemical Technology Group)
化學工程與材料工程學系(程序工程組)	Department of Chemical Engineering and Materials Engineering (Procedure Engineering Group)
化學工程與材料工程學系(製程及能源工	Department of Chemical Engineering and Materials Engineering (Process and Energy Engineering
化學工程與材料工程學系(製程及能源工程組)	Department of Chemical Engineering and Materials Engineering (Process and Energy Engineering Group)
化學工程與材料工程系	Department of Chemical Engineering and Materials Engineering
化學工程與材料科學學系	Department of Chemical Engineering and Materials Science
化學工程與材料科技系	Department of Chemical Engineering and Materials Technology
化學工程與生物科技學系	Department of Chemical Engineering and Biotechnology
化學工程與生物科技學系(化學工程組)	Department of Chemical Engineering and Biotechnology (Chemical Engineering Group)
化學工程與生物科技學系(生物科技組)	Department of Chemical Engineering and Biotechnology (Biotechnology Group)
化學工程與生物科技系	Department of Chemical Engineering and Biotechnology
化學暨生物化學系	Department of Chemistry and Biochemistry
化學系	Department of Chemistry
化學系(公費)-花蓮縣	Department of Chemistry (Publicly Funded)-Hualien County
化學系(自費)	Department of Chemistry (at your own expense)
化學系【外加】	Department of Chemistry【Additional】
化學系化學生物組	Department of Chemistry, Chemical Biology Group
化學系化學生物組(A組)	Department of Chemistry, Chemical Biology Group (Group A)
化學系化學生物組(B組)	Department of Chemistry, Chemical Biology Group (Group B)
化學系化學組	Department of Chemistry Chemistry Group
化學系材料化學組	Department of Chemistry Materials Chemistry Group
化學系英語組	Department of Chemistry English Section
